Task,Start,End
Task 14,2023-08-04,2023-08-05
Task 12,2023-08-04,2023-09-02
Task 23,2023-08-06,2023-08-20
Task 7,2023-08-04,2023-08-09
Task 9,2023-08-04,2023-08-22
Task 24,2023-08-07,2023-08-08
Task 21,2023-08-04,2023-09-01
Task 10,2023-08-04,2023-08-14
Task 25,2023-08-08,2023-09-04
Task 17,2023-08-04,2023-08-11
Task 11,2023-08-04,2023-09-08
Task 26,2023-08-09,2023-09-08
Task 22,2023-08-05,2023-08-06
Task 27,2023-08-10,2023-08-16
Task 3,2023-08-04,2023-08-13
Task 2,2023-08-04,2023-08-24
Task 13,2023-08-04,2023-08-21
Task 4,2023-08-04,2023-08-13
Task 19,2023-08-04,2023-08-12
Task 18,2023-08-04,2023-08-17
Task 0,2023-08-03,2023-08-04
Task 5,2023-08-04,2023-08-21
Task 1,2023-08-04,2023-08-08
Task 8,2023-08-04,2023-08-10
Task 15,2023-08-04,2023-08-05
Task 6,2023-08-04,2023-08-12
Task 16,2023-08-04,2023-08-23
Task 20,2023-08-04,2023-08-07
