Generation,Individual,Fitness
0,"[19, 14, 7, 12, 10, 18, 20, 24, 4, 3, 9, 1, 13, 25, 11, 16, 15, 26, 17, 0, 2, 5, 8, 6, 23, 21, 22, 27]",767
0,"[19, 16, 22, 12, 9, 26, 23, 4, 14, 10, 6, 0, 1, 3, 8, 25, 13, 21, 15, 18, 2, 7, 11, 24, 27, 20, 5, 17]",767
0,"[6, 12, 5, 19, 27, 3, 20, 2, 9, 16, 21, 1, 24, 7, 4, 23, 0, 13, 22, 15, 11, 17, 8, 14, 25, 26, 18, 10]",760
0,"[6, 20, 2, 18, 25, 3, 11, 26, 16, 27, 12, 22, 13, 1, 23, 24, 21, 0, 17, 5, 10, 8, 19, 4, 14, 7, 15, 9]",760
0,"[13, 25, 10, 4, 0, 8, 1, 21, 15, 9, 5, 6, 7, 11, 24, 12, 23, 22, 19, 3, 14, 26, 27, 16, 17, 18, 2, 20]",745
0,"[1, 25, 0, 20, 14, 26, 5, 10, 9, 19, 27, 8, 17, 7, 13, 22, 23, 11, 24, 18, 2, 3, 16, 4, 21, 15, 12, 6]",757
0,"[17, 11, 3, 15, 0, 7, 19, 10, 18, 22, 16, 25, 24, 5, 27, 8, 13, 6, 23, 9, 2, 26, 4, 1, 21, 20, 12, 14]",749
0,"[5, 0, 21, 7, 4, 27, 15, 9, 18, 11, 10, 3, 24, 13, 8, 25, 14, 12, 16, 20, 17, 1, 2, 6, 22, 23, 26, 19]",749
0,"[23, 17, 1, 24, 6, 26, 0, 4, 9, 15, 5, 19, 10, 18, 12, 21, 25, 11, 13, 20, 16, 27, 8, 3, 2, 22, 7, 14]",757
0,"[18, 10, 4, 24, 8, 22, 19, 1, 11, 9, 21, 20, 23, 15, 12, 26, 13, 27, 3, 0, 6, 2, 5, 25, 17, 7, 16, 14]",757
0,"[11, 8, 22, 26, 6, 2, 12, 27, 25, 20, 17, 3, 23, 4, 21, 24, 10, 16, 1, 14, 5, 19, 18, 0, 9, 15, 13, 7]",721
0,"[4, 25, 10, 19, 14, 23, 3, 12, 26, 7, 22, 1, 21, 5, 0, 17, 2, 15, 6, 20, 11, 16, 27, 24, 8, 18, 13, 9]",745
0,"[4, 10, 6, 0, 11, 14, 23, 20, 27, 9, 5, 12, 8, 15, 24, 19, 22, 18, 13, 3, 17, 26, 7, 16, 21, 2, 1, 25]",745
0,"[24, 6, 13, 5, 1, 12, 21, 11, 15, 14, 0, 22, 2, 26, 23, 27, 25, 4, 3, 16, 20, 7, 10, 18, 17, 9, 19, 8]",749
0,"[11, 1, 20, 14, 2, 18, 25, 26, 6, 12, 3, 16, 15, 0, 5, 10, 23, 8, 7, 21, 27, 4, 19, 13, 24, 17, 9, 22]",721
0,"[14, 7, 20, 3, 17, 19, 27, 23, 6, 21, 15, 26, 0, 9, 5, 24, 16, 12, 8, 10, 13, 22, 4, 11, 18, 2, 1, 25]",761
0,"[16, 4, 26, 11, 9, 14, 24, 20, 19, 27, 15, 3, 10, 17, 0, 1, 12, 22, 5, 2, 13, 8, 7, 6, 18, 25, 23, 21]",753
0,"[6, 18, 10, 11, 7, 26, 4, 27, 19, 24, 12, 15, 9, 17, 23, 25, 5, 0, 3, 16, 1, 2, 13, 20, 21, 22, 8, 14]",760
0,"[22, 12, 19, 23, 26, 10, 18, 14, 8, 11, 2, 0, 25, 24, 1, 16, 9, 6, 21, 7, 13, 20, 27, 17, 4, 3, 15, 5]",661
0,"[12, 3, 13, 17, 23, 2, 14, 15, 5, 26, 21, 0, 10, 20, 19, 1, 7, 18, 27, 22, 11, 4, 8, 6, 25, 24, 16, 9]",741
0,"[19, 0, 6, 9, 25, 4, 22, 27, 15, 16, 18, 12, 8, 10, 11, 13, 23, 17, 20, 7, 2, 5, 3, 1, 24, 14, 26, 21]",767
0,"[2, 20, 8, 26, 5, 22, 12, 9, 25, 17, 6, 14, 18, 15, 16, 19, 27, 4, 0, 24, 13, 7, 3, 1, 23, 21, 10, 11]",751
0,"[2, 1, 3, 10, 25, 26, 21, 14, 18, 27, 13, 19, 15, 4, 23, 8, 16, 9, 7, 0, 20, 17, 24, 22, 11, 6, 5, 12]",751
0,"[8, 9, 23, 26, 17, 25, 7, 13, 20, 18, 12, 14, 0, 10, 19, 5, 11, 4, 22, 15, 24, 1, 27, 21, 6, 2, 16, 3]",691
0,"[8, 16, 26, 17, 10, 0, 11, 1, 23, 12, 20, 24, 27, 2, 4, 13, 18, 22, 15, 3, 21, 9, 7, 5, 14, 25, 6, 19]",691
0,"[27, 14, 15, 8, 4, 1, 21, 10, 17, 26, 2, 5, 0, 11, 20, 24, 3, 16, 9, 13, 23, 19, 7, 25, 12, 18, 6, 22]",701
0,"[4, 8, 14, 5, 3, 12, 1, 23, 6, 26, 13, 21, 15, 24, 16, 11, 10, 0, 25, 7, 27, 22, 2, 19, 20, 9, 17, 18]",745
0,"[27, 1, 0, 15, 4, 19, 24, 5, 2, 11, 20, 25, 18, 23, 13, 12, 17, 6, 3, 14, 8, 26, 21, 10, 16, 7, 9, 22]",701
0,"[12, 27, 3, 11, 15, 23, 26, 16, 18, 2, 1, 13, 24, 4, 14, 7, 25, 21, 8, 17, 10, 19, 9, 5, 20, 6, 22, 0]",741
0,"[3, 23, 9, 4, 25, 15, 16, 20, 0, 21, 26, 14, 7, 1, 13, 2, 24, 8, 19, 27, 6, 22, 17, 10, 18, 12, 11, 5]",741
0,"[13, 15, 2, 9, 27, 12, 24, 6, 17, 4, 18, 8, 3, 5, 22, 11, 19, 7, 16, 23, 14, 21, 10, 1, 20, 26, 25, 0]",745
0,"[18, 21, 10, 17, 4, 13, 14, 9, 19, 24, 11, 12, 26, 1, 25, 22, 27, 0, 6, 3, 7, 8, 20, 16, 15, 2, 5, 23]",757
0,"[10, 9, 13, 17, 27, 14, 18, 15, 4, 3, 22, 5, 12, 23, 24, 19, 2, 1, 0, 16, 20, 8, 25, 6, 11, 21, 7, 26]",767
0,"[25, 12, 21, 0, 23, 10, 5, 14, 16, 27, 13, 15, 18, 17, 3, 19, 7, 4, 11, 9, 2, 1, 26, 8, 20, 6, 24, 22]",745
0,"[0, 8, 20, 13, 5, 4, 19, 2, 6, 16, 3, 14, 18, 26, 23, 21, 22, 25, 9, 11, 15, 17, 1, 10, 7, 27, 12, 24]",761
0,"[5, 25, 22, 15, 0, 9, 20, 10, 2, 18, 14, 7, 1, 27, 21, 26, 4, 8, 17, 6, 11, 13, 3, 19, 24, 12, 16, 23]",749
0,"[0, 9, 7, 18, 26, 20, 17, 27, 15, 21, 14, 6, 11, 5, 4, 25, 3, 12, 8, 1, 24, 22, 23, 19, 2, 10, 13, 16]",761
0,"[9, 26, 20, 2, 17, 21, 10, 16, 19, 22, 6, 11, 4, 27, 13, 14, 3, 5, 23, 15, 0, 7, 12, 25, 8, 1, 24, 18]",741
0,"[8, 9, 13, 5, 15, 24, 20, 3, 22, 18, 12, 26, 25, 19, 21, 27, 7, 2, 4, 6, 16, 23, 0, 10, 11, 17, 1, 14]",691
